 رقم الصنف , اسم الصنف,نسبة العمولة,قيمة العمولة, اخر سعر البيع ,قيمة العمولة , من تاريخ,الي تاريخ
111000124,Anazol 500mg  20 tab,5,0,14.85,0.74,1/1/2024,31/12/24
111000198,Avalon Avocaine 10% Spray 50ml,5,0,24.45,1.22,1/1/2024,31/12/24
111000210,Avalon salinose Adults Nasal Spray 30ml,5,0,40,2,1/1/2024,31/12/24
111000211,Avalon Salinose Baby Nasal Drops 20ml,5,0,34,1.7,1/1/2024,31/12/24
111000213,Avalon Salinose N/Spray Plus 20ml,5,0,39,1.95,1/1/2024,31/12/24
111000217,Avalon Urea Cream 100ml,5,0,51,2.55,1/1/2024,31/12/24
111000226,Avalon Avocom 0.1% Cream 30g,5,0,16.95,0.85,1/1/2024,31/12/24
111000227,Avalon Avocom 0.1% Ointment 30g,5,0,14.35,0.72,1/1/2024,31/12/24
111000234,Azimac 250mg 6 Tabs,5,0,32.2,1.61,1/1/2024,31/12/24
111000235,Azimac 500mg 3 tab,5,0,32.3,1.62,1/1/2024,31/12/24
111000438,Cefix 100mg 60ml Sus,5,0,28.65,1.43,1/1/2024,31/12/24
111000507,Ciprogen 500mg tablets,5,0,40.7,2.04,1/1/2024,31/12/24
111000531,Clara 10mg 10 tabs,5,0,17.65,0.88,1/1/2024,31/12/24
111000607,Coxicam 15mg 10tablet,5,0,13.3,0.67,1/1/2024,31/12/24
111000725,Diclomax 50mg 20 tab,10,0,19.8,1.98,1/1/2024,31/12/24
111000726,Diclomax Emulgel,5,0,10.55,0.53,1/1/2024,31/12/24
111000767,Dompy 10 mg 30 tab,5,0,16.25,0.81,1/1/2024,31/12/24
111000789,Duracan 150mg 1 Cap,5,0,19.45,0.97,1/1/2024,31/12/24
111000814,Elica - M - Cream 30 gm,5,0,25.55,1.28,1/1/2024,31/12/24
111000815,Elica 0.1% Cream 30 gm,5,0,19.2,0.96,1/1/2024,31/12/24
111000828,Emifenac 50mg tab,5,0,23.35,1.17,1/1/2024,31/12/24
111000939,Fexodine 120mg   14  s,5,0,16.85,0.84,1/1/2024,31/12/24
111001038,Gastrozole 20mg 14cap,5,0,41.35,2.07,1/1/2024,31/12/24
111001073,Gloclav 625 mg tab,5,0,48,2.4,1/1/2024,31/12/24
111001158,Hymox caps 500 mg blst 20   p,15,0,40.4,6.06,1/1/2024,31/12/24
111001169,Hyposec 20mg 14 caps,5,0,31.6,1.58,1/1/2024,31/12/24
111001440,Megamox 1 gm tab / 14,15,0,70.1,10.52,1/1/2024,31/12/24
111001445,Megamox 457mg susp 70ml,5,0,29.55,1.48,1/1/2024,31/12/24
111001446,Megamox 625mg 20 tab,15,0,57.4,8.61,1/1/2024,31/12/24
111001469,Meva 135 mg F. C 30 tabs,5,0,15.8,0.79,1/1/2024,31/12/24
111001770,  Pantomax 40mg 15 tab,5,0,31.65,1.58,1/1/2024,31/12/24
111001771,  Pantomax 40mg 30 tab,5,0,56.45,2.82,1/1/2024,31/12/24
111001798,Peptazol caps 15mg rmbp 14  p,5,0,19.5,0.98,1/1/2024,31/12/24
111001956,Relaxon 250mg 30 caps,5,0,24.15,1.21,1/1/2024,31/12/24
111001961,Remox  500 cap,7,0,36.35,2.54,1/1/2024,31/12/24
111001969,Repaderm Gel 100gm,5,0,20,1,1/1/2024,31/12/24
111001970,Repaderm Gel 40gm,5,0,9.85,0.49,1/1/2024,31/12/24
111002037,Rofenac D  tabs 50 mg rmbp  20  p,5,0,29.55,1.48,1/1/2024,31/12/24
111002038,Rofenac Gel 50g,5,0,13.45,0.67,1/1/2024,31/12/24
111002060,Rumafen 50mg EC 20tab,5,0,21.05,1.05,1/1/2024,31/12/24
111002079,Sapofen tabs 400mg RMBP 20 p,5,0,10,0.5,1/1/2024,31/12/24
111002080,Sapofen tabs 600mg rmbp 30 p,5,0,17.4,0.87,1/1/2024,31/12/24
111002151,Snafi tabs 20 mg RMBP  4 p,5,0,88.95,4.45,1/1/2024,31/12/24
111002372,Victoria 2000mg 30 Cap (New),7,0,152,10.64,1/1/2024,31/12/24
111002404,Votrex 50mg 20tab,5,0,10.25,0.51,1/1/2024,31/12/24
111002452,Zertazine 10mg 10tab,5,0,7.5,0.38,1/1/2024,31/12/24
111002453,Zertazine 10mg 20tab,5,0,15,0.75,1/1/2024,31/12/24
111003395,Erecta 100mg F.C ATab,5,0,48.55,2.43,1/1/2024,31/12/24
111003412,Vitalife Soft Gel CapSules,5,0,33.2,1.66,1/1/2024,31/12/24
111003608,Tyra 20mg 4 Tab,5,0,72.05,3.6,1/1/2024,31/12/24
111003702,Vega 100mg 4 Tab,5,0,43.7,2.19,1/1/2024,31/12/24
111003704,Lohist 10mg 10Tab,5,0,10.4,0.52,1/1/2024,31/12/24
111003720,Healax Cream 100g,5,0,35,1.75,1/1/2024,31/12/24
111003723,Curasept Mouth Wash 200ml,5,0,27.5,1.38,1/1/2024,31/12/24
111003735,Mugesic Muscle Pain Relief Cream 100g,5,0,60,3,1/1/2024,31/12/24
111003786,Tedo 20mg 8Tab,10,0,129.7,12.97,1/1/2024,31/12/24
111004197,Zinco Vit C 1000mg+zing 200ml,10,0,29.9,2.99,1/1/2024,31/12/24
111004250,Avialis 20 mg 4 Tab,5,0,64,3.2,1/1/2024,31/12/24
111004380,Super Royal Jelly,5,0,169,8.45,1/1/2024,31/12/25
111004395,Avialis 20mg 1tab,5,0,16,0.8,1/1/2024,31/12/24
111004538,Care Q10-100mg 30 Caps,5,0,109.95,5.5,1/1/2024,31/12/24
111004738,Omega 3-6-9 30 pcs,5,0,109.95,5.5,1/1/2024,31/12/24
111004739,Vascutal 60mg 45 pcs,5,0,79.95,4,1/1/2024,31/12/24
111004742,Natural Ce Vitamin C 1000mg,10,0,22.9,2.29,1/1/2024,31/12/24
111004793,Omega 3 Fort 30 Caps,5,0,85,4.25,1/1/2024,31/12/25
111004794,Ginko Biloba 30 Tab,5,0,168.5,8.43,1/1/2024,31/12/25
111004795,Pure Zinc 60 Caps,5,0,50,2.5,1/1/2024,31/12/25
111004796,Super Yeast Collagen,5,0,98,4.9,1/1/2024,31/12/25
121003740,Pregnancy  Test  (Side),10,0,10,1,1/1/2024,31/12/24
121004743,Vavo  Shampoo   100 ml,5,0,26.5,1.33,1/1/2024,31/12/24
121013230,Avalon Avocom - M Cream 50g,5,0,37.3,1.87,1/1/2024,31/12/24
121014578,Avalon Avoquin 1.9 Cream,5,0,15.6,0.78,1/1/2024,31/12/24
121018419,Zlaja Anti Imperfections Acne Balance Cream 50ml,5,0,120,6,1/1/2024,31/12/24
121018420,Zlaja Anti Imperfections Cleansing Gel 200ml,5,0,105,5.25,1/1/2024,31/12/24
121018421,Zlaja Brightening Dark Spot Corrector Gel Cream 30ml,5,0,177,8.85,1/1/2024,31/12/24
121018422,Zlaja Brightening Day Cream 50ml,5,0,169,8.45,1/1/2024,31/12/24
121018423,Zlaja Brightening Night Cream 50ml,5,0,169,8.45,1/1/2024,31/12/24
121018424,Zlaja Physioderm Creamy Cleansing Base 400ml,5,0,130,6.5,1/1/2024,31/12/24
121018425,Zlaja Strengthening Anti Hair Loss Shampo 300ml,5,0,88,4.4,1/1/2024,31/12/24
121018426,Zlaja Anti Dandruf Shampo 300ml,5,0,75,3.75,1/1/2024,31/12/24
121018427,Zlaja Soothing Shampo 300ml,5,0,73,3.65,1/1/2024,31/12/24
121018428,Zlaja Spf 50 Anti Wrinkle Cream 50ml,5,0,112,5.6,1/1/2024,31/12/24
121018429,Zlaja Spf 50 Matifying Cream 50ml,5,0,117,5.85,1/1/2024,31/12/24
121018430,Zlaja Spf 50 + Tinted Cream 50ml,5,0,107,5.35,1/1/2024,31/12/24
121020924,Carelin Lotion With Licorice 480ml 00317,5,0,25,1.25,1/1/2024,31/12/24
121020925,Careline Cream Foundation 50gm 00198,5,0,25,1.25,1/1/2024,31/12/24
121020926,Careline Vitamin C Face Mask 25ml 00199,5,0,35,1.75,1/1/2024,31/12/24
121020927,Careline Argan Oil Face Mask 25ml 00200,5,0,35,1.75,1/1/2024,31/12/24
121020928,Careline Ficial Wash Vitamin C Collagen 100 gm 00268,5,0,35,1.75,1/1/2024,31/12/24
121020929,Careline Whitening Soap With Vitamin C and Collagen 80 gm 00269,5,0,25,1.25,1/1/2024,31/12/24
121020930,Carelin Whit Lotion For Face With Vitamin C & Collagen 100gm 00270,5,0,48,2.4,1/1/2024,31/12/24
121020931,Careline Vitamin C Underams White Cream 50gm 00271,5,0,35,1.75,1/1/2024,31/12/24
121020932,Careline Vitamin C Balm For Underarms Lightening 40gm 00272,5,0,17.5,0.88,1/1/2024,31/12/24
121020933,Careline Vitamin C And Collagen Face Cream 50gm 00273,5,0,35,1.75,1/1/2024,31/12/24
121020934,Careline Make Up Wipes With Micellar Water 24pcs 00264,5,0,12,0.6,1/1/2024,31/12/24
121020935,Careline Charooal Nasal Strips 5 Pulls 8 Dozen 00001,5,0,10,0.5,1/1/2024,31/12/24
121020936,Careline Nasal Strips With Roses 8 Dozen 00002,5,0,10,0.5,1/1/2024,31/12/24
121020937,Careline Nasal Strips With Almond Oil Pulls 8 Dozen 00003,5,0,10,0.5,1/1/2024,31/12/24
121020938,Careline Nasal Strips With Cucumber 6 Pulls 8 Dozen 00004,5,0,10,0.5,1/1/2024,31/12/24
121020939,Carelin Nasal Strips With Green Tea 00006,5,0,10,0.5,1/1/2024,31/12/24
121020940,Careline Face Wash With Licorice 100gm 00313,5,0,30,1.5,1/1/2024,31/12/24
121020941,Careline Face Serum With Licorice 30ml 00314,5,0,45,2.25,1/1/2024,31/12/24
121020942,Careline Face Cream With Livorice 50gm,5,0,45,2.25,1/1/2024,31/12/24
121020943,Careline Licorice Soap 100gm 00316,5,0,15,0.75,1/1/2024,31/12/24
121020944,Careline Face Serum With Vitamin C & Collagen 40ml 00319,5,0,39,1.95,1/1/2024,31/12/24
121020945,Careline Moistu Lotion With Vitamin C & Licorice 230 gm 00320,5,0,34,1.7,1/1/2024,31/12/24
121020946,Careline Shampoo Against Lice 100ml 00161,5,0,32,1.6,1/1/2024,31/12/24
121020947,Careline Shampoo Against Lice 100ml UAE 00162,5,0,30,1.5,1/1/2024,31/12/24
121020948,Careline Cleansing Body Scrub With Arabica Coffee Beans 100gm 00201,5,0,20,1,1/1/2024,31/12/24
121020949,Careline Whiten & Repairing Feet Cream 100gm 00321,5,0,30,1.5,1/1/2024,31/12/24
121020950,Carleline White Cream For Face & Body 120ml 00191,5,0,30,1.5,1/1/2024,31/12/24
121020951,Careline Charcoal Black Mask Remove Blackheads 120ml 00192,5,0,25,1.25,1/1/2024,31/12/24
121020952,Careline Moistu Cream SPF 60 & Sunscreen 80ml 00193,5,0,30,1.5,1/1/2024,31/12/24
121020953,Careline Sunscreen Spf 50 Vitamin C 50G 00194,5,0,35,1.75,1/1/2024,31/12/24
121020954,Careline 90 SPF Sunscreen Cream 40gm 00195,5,0,40,2,1/1/2024,31/12/24
121020955,Careline 50 SPF Bronze Sunscreen Cream 40gm 00196,5,0,45,2.25,1/1/2024,31/12/24
121020956,Careline Sunscreen Lotion Spf 50 50ml 00318,5,0,40,2,1/1/2024,31/12/24
121020957,Careline Vitamin C Lotion 480ml 00197,5,0,25,1.25,1/1/2024,31/12/24
121020958,Careline Hand & Body Lotion Collagen 480ml 00265,5,0,25,1.25,1/1/2024,31/12/24
121020959,Careline Papaya Body Lotion 480ml 00266,5,0,20,1,1/1/2024,31/12/24
121020960,Careline Body Lotion Carrot 480ml 00267,5,0,20,1,1/1/2024,31/12/24
121020961,Careline Nasal Strips With Tea Oil 00005,5,0,10,0.5,1/1/2024,31/12/24
121020962,Orahix Mouth Wash 300 ml 2080,5,0,38,1.9,1/1/2024,31/12/24
121020963,Dentaheel Gel 20ml 1076,5,0,41.78,2.09,1/1/2024,31/12/24
121020964,V-Wash Feminine Wash 250ml 2072,5,0,68.7,3.44,1/1/2024,31/12/24
121020965,Vivaheel Massage Emul Gel 100ml 1195,5,0,41.9,2.1,1/1/2024,31/12/24
121020966,Condroheel Massage Emul Gel 100ml 1171,5,0,89.52,4.48,1/1/2024,31/12/24
121020967,Cute Baby Cream 100ml 1104,5,0,41.9,2.1,1/1/2024,31/12/24
121020968,Medo Care Cream 50ml 1105,5,0,60,3,1/1/2024,31/12/24
121020969,Normazal Plus 65 ml 23069,5,0,40.87,2.04,1/1/2024,31/12/24
121020970,Normazal Plus Baby 30ml 2079,5,0,43,2.15,1/1/2024,31/12/24
121020971,Uniwhyt Brightening Cream 50ml oo16,5,0,129.57,6.48,1/1/2024,31/12/24
121021156,Zlaja imperfections Face Toner 200,5,0,105,5.25,1/1/2024,31/12/24
121021157,Zlaja Anti-Wrinkle Fiming Day Cream 50ml,5,0,95,4.75,1/1/2024,31/12/24
121021159,Zlaja Atopic Skin Bath & Shower Oil 270ml,5,0,98,4.9,1/1/2024,31/12/24
121021160,Zlaja Atopic Skin Face Cream 50ml,5,0,77,3.85,1/1/2024,31/12/24
121021161,Zlaja Atopic Skin Body Lotion 400ml,5,0,132,6.6,1/1/2024,31/12/24
121021162,Zlaja Anti-Wrinkle Regenerating Night Cream 50ml,5,0,105,5.25,1/1/2024,31/12/24
121021164,Zalja Anti Wrinkle Serum 30ml,5,0,100,5,1/1/2024,31/12/24
121021165,Zlaja Physioderm Cream 50ml,5,0,86,4.3,1/1/2024,31/12/24
121021166,Zlaja Physioderm Cleansing Face Gel 200ml,5,0,120,6,1/1/2024,31/12/24
121021945,La vie Green Tea Shower 6111270130084,10,0,48,4.8,1/10/2024,31/12/24
121021946,La vie Youth Spring Oil 6111270130053,10,0,110,11,1/10/2024,31/12/24
121021947,La vie Argan Oil 100ml 6111270130091,10,0,130,13,1/10/2024,31/12/24
121021948,La vie Hair Mask 250gm 6111270130039,10,0,58,5.8,1/10/2024,31/12/24
121021949,La vie Morrocan Clay Powder 6111270130060,10,0,58,5.8,1/10/2024,31/12/24
121021950,La vie Black Soap 250gm 6111270130077,10,0,58,5.8,1/10/2024,31/12/24
121021951,La vie Anti Hair Loss Shampo 6111270130015,10,0,56,5.6,1/10/2024,31/12/24
121021952,La vie Brittle hair Shampo 6111270130008,10,0,56,5.6,1/10/2024,31/12/24
121021953,La vie Essential Hair Conditioner 6111270130022,10,0,56,5.6,1/10/2024,31/12/24
121021954,La vie Precious Dry Oil 61112703130046,10,0,110,11,1/10/2024,31/12/24
121021955,La vie Kessa Glove LOUFA LAV0001,10,0,21,2.1,1/10/2024,31/12/24
121021956,La vie Argan Oil 50m 6111270130107,10,0,84,8.4,1/10/2024,31/12/24
121021957,La vie Golden Care Hair Serum 6111270130114,10,0,81,8.1,1/10/2024,31/12/24
121021958,La vie Cleansing Face Gel 6111270130138,10,0,60,6,1/10/2024,31/12/24
151001313,Prila Cream 5 GM,5,0,55,2.75,1/1/2024,31/12/24
151001844,Perfect 61 Glucose Strips 50 pcs,5,0,70,3.5,1/1/2024,31/12/24
151001845,Perfect 61 Glucose System,5,0,90,4.5,1/1/2024,31/12/24
